node_id,name,sku,label,days,mean_demand,variance_demand
2,North central,SKU-001,Everyday,540,9.101851851851851,23.486824022538304
2,North central,SKU-002,Premium,540,4.985185185185185,7.992358963787535
2,North central,SKU-003,Occasional,540,1.9407407407407407,2.63841132412561
3,North east,SKU-001,Everyday,540,9.944444444444445,28.80581323438467
3,North east,SKU-002,Premium,540,5.646296296296296,10.655737648594792
3,North east,SKU-003,Occasional,540,2.0925925925925926,2.3921528207242493
4,South central,SKU-001,Everyday,540,10.39074074074074,25.9045523259809
4,South central,SKU-002,Premium,540,5.675925925925926,10.831701367415652
4,South central,SKU-003,Occasional,540,2.198148148148148,2.6935030577887726
5,South west,SKU-001,Everyday,540,11.092592592592593,27.794750223321643
5,South west,SKU-002,Premium,540,6.2592592592592595,12.437298151583867
5,South west,SKU-003,Occasional,540,2.5407407407407407,3.2061293204150343
