split,scenario,policy,cost_per_day,fill_rate,worst_store_sku_fill,shortage_units,backlog_unit_days,mean_on_hand,saving_pct,saving_per_day,ci95_low,ci95_high
validation,normal,independent,435.53559490740736,0.9977503989118208,0.9803299492385786,28.666666666666668,30.666666666666668,552.7481481481481,0.0,0.0,0.0,0.0
validation,normal,normal_optimized,323.2931643518519,0.9525556514687803,0.9190422955095957,604.5833333333334,697.5,245.34166666666667,25.771126830498833,112.24243055555557,107.80162550267578,116.68323560843537
validation,normal,service_aware,621.3749583333334,0.9986986319286406,0.9803299492385786,16.583333333333332,18.583333333333332,709.6837962962964,-42.66915622945455,-185.83936342592594,-186.54343574633188,-185.13529110552
validation,demand_spike,independent,474.19212962962956,0.9566872358977798,0.8372933884297521,645.75,803.0833333333334,490.7601851851852,0.0,0.0,0.0,0.0
validation,demand_spike,normal_optimized,739.8556388888888,0.803541485009055,0.69700533082471,2929.0,4918.25,202.22685185185185,-56.024445084476035,-265.66350925925923,-288.26838849716654,-243.0586300213519
validation,demand_spike,service_aware,589.1433912037037,0.9879714713707604,0.887224517906336,179.33333333333334,210.41666666666666,644.4439814814815,-24.241495037856787,-114.95126157407407,-120.70707974800725,-109.19544340014089
validation,supplier_delay,independent,334.1261597222222,0.9795508645269299,0.9056683587140439,260.5833333333333,358.4166666666667,269.26203703703703,0.0,0.0,0.0,0.0
validation,supplier_delay,normal_optimized,1705.2306828703702,0.45506029454079366,0.2790656831752722,6944.166666666667,14754.166666666666,37.31759259259259,-410.3553353284353,-1371.1045231481482,-1407.9424567331403,-1334.2665895631562
validation,supplier_delay,service_aware,482.0858518518517,0.9978615710586204,0.9773688663282571,27.25,31.5,424.5152777777778,-44.282582439111245,-147.95969212962956,-155.1213380361279,-140.79804622313122
validation,combined_stress,independent,1367.324537037037,0.731325597513806,0.6165633608815427,4005.6666666666665,9640.166666666666,205.99907407407412,0.0,0.0,0.0,0.0
validation,combined_stress,normal_optimized,3890.6384537037034,0.2966888009479733,0.17087744626243181,10485.666666666666,33359.0,26.568518518518516,-184.543891981536,-2523.313916666667,-2562.288927050842,-2484.3389062824917
validation,combined_stress,service_aware,954.0102824074073,0.8334898383526729,0.7431129476584022,2482.5,4871.583333333333,336.5217592592593,30.227955648720584,413.31425462962966,401.16865605796045,425.45985320129887
test,normal,independent,430.458675925926,0.9963682838559461,0.9901783016016924,47.833333333333336,49.75,540.7337962962964,0.0,0.0,0.0,0.0
test,normal,normal_optimized,335.703875,0.9413673980715208,0.8890116183930616,772.25,869.9166666666666,234.3347222222222,22.0125197202975,94.75480092592598,90.05280195406556,99.4567998977864
test,normal,service_aware,612.0902500000001,0.9993040265229165,0.9928005759539237,9.166666666666666,9.5,697.5101851851852,-42.19489215390551,-181.6315740740741,-183.42871374003175,-179.83443440811646
test,demand_spike,independent,484.59634027777776,0.953936266874351,0.9252650633566072,709.75,845.8333333333334,476.7921296296295,0.0,0.0,0.0,0.0
test,demand_spike,normal_optimized,837.0732662037036,0.7767718068535826,0.6924547440699126,3439.5,5603.416666666667,192.05509259259262,-72.73619229643398,-352.47692592592597,-385.56838229834784,-319.3854695535041
test,demand_spike,service_aware,584.2719189814817,0.9879391658013154,0.9445093457943925,185.83333333333334,212.83333333333334,630.2689814814814,-20.568784866713646,-99.67557870370372,-110.8344643918531,-88.51669301555434
test,supplier_delay,independent,338.0941134259259,0.9742489813479108,0.9453006950740405,339.1666666666667,420.25,250.78750000000002,0.0,0.0,0.0,0.0
test,supplier_delay,normal_optimized,2041.8298912037037,0.3921114569888391,0.1672394043528064,8006.5,17609.333333333332,35.42546296296297,-503.9235260601644,-1703.7357777777777,-1756.775505116064,-1650.6960504394913
test,supplier_delay,service_aware,466.6220185185186,0.9978677903474805,0.9928005759539237,28.083333333333332,29.666666666666668,405.56018518518516,-38.015422330253664,-128.5279050925926,-135.29996402019088,-121.7558461649943
test,combined_stress,independent,1590.1486550925927,0.6990362149532711,0.6567765567765568,4637.25,11124.083333333334,191.63101851851852,0.0,0.0,0.0,0.0
test,combined_stress,normal_optimized,4411.399141203704,0.25889148494288683,0.1110054921841994,11419.0,37595.666666666664,28.017129629629633,-177.4205497753814,-2821.2504861111115,-2861.4997415259636,-2781.0012306962594
test,combined_stress,service_aware,1088.292439814815,0.8127487885081343,0.7477460555972952,2885.1666666666665,5629.25,318.01944444444445,31.56033328522705,501.85621527777784,482.81978885422876,520.892641701327
