node_id,sku,count,mean,std,min,max,p90
0,SKU-001,54,3.814814814814815,1.694319856573768,2,6,6.0
0,SKU-002,54,3.4074074074074074,1.2056239051623072,2,6,5.400000000000006
0,SKU-003,54,4.092592592592593,1.4700599207209661,2,6,6.0
1,SKU-001,54,3.5925925925925926,1.4732651264366108,2,6,6.0
1,SKU-002,54,3.7962962962962963,1.3650575995813155,2,6,6.0
1,SKU-003,54,3.962962962962963,1.6479027604917524,2,6,6.0
2,SKU-001,54,1.9444444444444444,0.8777472595071585,1,3,3.0
2,SKU-002,54,1.7592592592592593,0.7994145306996743,1,3,3.0
2,SKU-003,54,1.8333333333333333,0.8411582311380664,1,3,3.0
3,SKU-001,54,1.6851851851851851,0.8201259469331427,1,3,3.0
3,SKU-002,54,1.9074074074074074,0.8072435866861885,1,3,3.0
3,SKU-003,54,1.5555555555555556,0.7439483312010688,1,3,3.0
4,SKU-001,54,1.8148148148148149,0.825857452044319,1,3,3.0
4,SKU-002,54,1.7222222222222223,0.7870812253801459,1,3,3.0
4,SKU-003,54,1.5740740740740742,0.7423026858555558,1,3,3.0
5,SKU-001,54,1.7407407407407407,0.8283920588794508,1,3,3.0
5,SKU-002,54,1.7962962962962963,0.8551647668587556,1,3,3.0
5,SKU-003,54,1.7407407407407407,0.7815124471825948,1,3,3.0
